gender,parent_age,child_age,key,array_index,premi
PRIA,19,11,ju,3,668
PRIA,19,11,ju,4,890
PRIA,19,11,ju,5,1203
PRIA,19,11,ju,6,1604
PRIA,19,11,ju,7,1920
PRIA,19,11,ju,8,3560
PRIA,19,11,ki,1,5.91
PRIA,19,11,ki,2,8.87
PRIA,19,11,ki,3,10.80
PRIA,19,11,ki,4,13.30
PRIA,19,11,ki,5,15.96
PRIA,19,11,ki,6,23.65
PRIA,19,11,ki,7,47.30
PRIA,19,11,ki,8,236.50
PRIA,19,11,ku,2,895
PRIA,19,11,ku,3,1209
PRIA,19,11,ku,4,1612
PRIA,19,11,ku,5,2148
PRIA,19,11,ku,6,2864
PRIA,19,11,ku,7,3580
PRIA,19,11,ku,8,7160
PRIA,19,2,ji,3,5.28
PRIA,19,2,ji,4,6.60
PRIA,19,2,ji,5,7.92
PRIA,19,2,ji,6,11.90
PRIA,19,2,ji,7,21.10
PRIA,19,2,ji,8,105.50
PRIA,19,2,ju,3,567
PRIA,19,2,ju,4,756
PRIA,19,2,ju,5,1080
PRIA,19,2,ju,6,1360
PRIA,19,2,ju,7,1700
PRIA,19,2,ju,8,3020
PRIA,19,2,ki,1,5.25
PRIA,19,2,ki,2,7.88
PRIA,19,2,ki,3,10.50
PRIA,19,2,ki,4,11.83
PRIA,19,2,ki,5,14.19
PRIA,19,2,ki,6,21.00
PRIA,19,2,ki,7,42.00
PRIA,19,2,ki,8,210.00
PRIA,19,2,ku,2,812
PRIA,19,2,ku,3,1097
PRIA,19,2,ku,4,1462
PRIA,19,2,ku,5,1950
PRIA,19,2,ku,6,2600
PRIA,19,2,ku,7,3250
PRIA,19,2,ku,8,6500
PRIA,19,3,ji,3,5.36
PRIA,19,3,ji,4,6.70
PRIA,19,3,ji,5,8.04
PRIA,19,3,ji,6,12.05
PRIA,19,3,ji,7,21.40
PRIA,19,3,ji,8,107.00
PRIA,19,3,ju,3,579
PRIA,19,3,ju,4,772
PRIA,19,3,ju,5,1080
